l1/I l2/I w1/I w2/I z x
1 2 0 0 10.147281 61.951025
1 2 0 1 133.540693 53.619232
1 2 0 2 256.997892 45.283132
1 2 0 3 380.577262 36.938782
1 2 0 4 504.337404 28.582227
1 2 0 5 628.337279 20.209484
1 2 0 6 752.636285 11.816543
1 2 0 7 877.294412 3.399354
1 2 0 8 1002.372311 -5.046179
1 2 1 0 -113.172104 53.650149
1 2 1 1 10.203881 45.292125
1 2 1 2 133.585255 36.933735
1 2 1 3 257.030260 28.571035
1 2 1 4 380.597241 20.200071
1 2 1 5 504.344791 11.816875
1 2 1 6 628.331828 3.417455
1 2 1 7 752.617746 -5.002212
1 2 1 8 877.262483 -13.446188
1 2 2 0 -236.548000 45.345470
1 2 2 1 -113.127162 36.965407
1 2 2 2 10.240679 28.588943
1 2 2 3 133.613736 20.212124
1 2 2 4 257.050223 11.830999
1 2 2 5 380.608479 3.441606
1 2 2 6 504.347067 -4.960031
1 2 2 7 628.324907 -13.377914
1 2 2 8 752.601347 -21.816070
1 2 3 0 -360.042961 37.032776
1 2 3 1 -236.514897 28.634862
1 2 3 2 -113.098325 20.244528
1 2 3 3 10.265061 11.857810
1 2 3 4 133.633457 3.470751
1 2 3 5 257.065070 -4.920606
1 2 3 6 380.618225 -13.320226
1 2 3 7 504.351488 -21.732090
1 2 3 8 628.323744 -30.160202
1 2 4 0 -483.719782 28.707841
1 2 4 1 -360.021900 20.296265
1 2 4 2 -236.494230 11.896263
1 2 4 3 -113.078258 3.503857
1 2 4 4 10.284314 -4.884917
1 2 4 5 133.651679 -13.274018
1 2 4 6 257.082043 -21.667403
1 2 4 7 380.633738 -30.069038
1 2 4 8 504.365304 -38.482905
1 2 5 0 -607.641597 20.366415
1 2 5 1 -483.710965 11.945375
1 2 5 2 -360.009614 3.539916
1 2 5 3 -236.478695 -4.853963
1 2 5 4 -113.059697 -13.240238
1 2 5 5 10.305682 -21.622868
1 2 5 6 133.675643 -30.005810
1 2 5 7 257.108404 -38.393019
1 2 5 8 380.662280 -46.788458
1 2 6 0 -731.872079 12.004212
1 2 6 1 -607.645291 3.577927
1 2 6 2 -483.707316 -4.828767
1 2 6 3 -359.998858 -13.219893
1 2 6 4 -236.461064 -21.599443
1 2 6 5 -113.035412 -29.971386
1 2 6 6 10.336416 -38.339679
1 2 6 7 133.712639 -46.708270
1 2 6 8 257.151468 -55.081107
1 2 7 0 -856.475519 3.616904
1 2 7 1 -731.888562 -4.810380
1 2 7 2 -607.650541 -13.214060
1 2 7 3 -483.701586 -21.598188
1 2 7 4 -359.982386 -29.966774
1 2 7 5 -236.434078 -38.323802
1 2 7 6 -112.998109 -46.673230
1 2 7 7 10.383862 -55.019006
1 2 7 8 133.770056 -63.365067
